met,metName,degree,keggID,hmdbID,stringsAsFactors,compartment,met_no_compartment,met_Rid,ID
lnlncgcrn[m],gamma-linolenyl carnitine,2,,HMDB06318,FALSE,[m],lnlncgcrn,lnlncgcrn.m.,HMDB0006318
44mctr[c],"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",2,C11455,HMDB01023,FALSE,[c],44mctr,X44mctr.c.,HMDB0001023
Ssq23epx[r],"(S)-2,3-epoxysqualene",2,C01054,HMDB01188,FALSE,[r],Ssq23epx,Ssq23epx.r.,HMDB0001188
thp2c[x],1-piperideine-6-carboxylate,2,,HMDB12130,FALSE,[x],thp2c,thp2c.x.,HMDB0012130
peplys[n],Peptidyl-L-lysine,2,C02188,,FALSE,[n],peplys,peplys.n.,
Nmelys[n],Histone N6-methyl-L-lysine,2,C03702,,FALSE,[n],Nmelys,Nmelys.n.,
Ndmelys[n],"Protein N6,N6-dimethyl-L-lysine",2,C05545,,FALSE,[n],Ndmelys,Ndmelys.n.,
Ntmelys[n],"Protein N6,N6,N6-trimethyl-L-lysine",2,C05546,,FALSE,[n],Ntmelys,Ntmelys.n.,
lys_L[x],L-lysinium(1+),2,C00047,HMDB00182,FALSE,[x],lys_L,lys_L.x.,HMDB0000182
6a2ohxnt[x],6-amino-2-oxohexanoic acid,2,C03239,HMDB12151,FALSE,[x],6a2ohxnt,X6a2ohxnt.x.,HMDB0012151
nm4masn[g],(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)4-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),2,C05882,,FALSE,[g],nm4masn,nm4masn.g.,
nm2masn[g],(N-acetyl-D-glucosaminyl-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),2,C05884,,FALSE,[g],nm2masn,nm2masn.g.,
n3m2masn[g],((N-acetyl-D-glucosaminyl)3-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),2,,,FALSE,[g],n3m2masn,n3m2masn.g.,
n2m2nmasn[g],"N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminyl-R",2,C04946,,FALSE,[g],n2m2nmasn,n2m2nmasn.g.,
n4m2masn[g],((N-acetyl-D-glucosaminyl)4-(alpha-D-mannosyl)2-beta-D-mannosyl-diacetylchitobiosyl)-L-asparagine (protein),2,,,FALSE,[g],n4m2masn,n4m2masn.g.,
